link,Price,Year,Mileage,Fuel,Transmission,EngineCapacity,Power,Color,Doors,Location
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-line-x-sportpaket-bluetooth-navi-klima-hirdetesid-3t7efb,11 418 698 Ft,2023,20 272 km,dízel,automata,1 499 cm³,85 kW (116 LE),fehér,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-titanium-x-1-5-ecoblue-navi-allwetter-viele-assis-hirdetesid-3fnhb4,11 418 698 Ft,2023,17 378 km,dízel,automata,1 499 cm³,85 kW (116 LE),piros,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-1-5-ecoblue-ss-aut-titanium-x-fahrpk-rfk-hirdetesid-7h3hxa,11 418 698 Ft,2023,21 690 km,dízel,automata,1 499 cm³,85 kW (116 LE),piros,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-line-turnier-aut-ab-januar-2026-hirdetesid-ca3t8x,11 440 665 Ft,2023,14 884 km,dízel,automata,1 499 cm³,85 kW (116 LE),ezüst,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-turnier-automatik-led-ahk-recaro-bo-acc-1-hirdetesid-nw7ua4,11 450 858 Ft,2020,67 890 km,benzin,automata,2 261 cm³,206 kW (280 LE),szürke,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-1-0-ecoboost-mhev-st-line-x-azonnali-keszlet-petranyi-budaors-hirdetesid-ex2zp4,,2025,7 km,benzin,manuális/kézi,999 cm³,92 kW (125 LE),szürke,5 ajtó,"Budapest, Budaörsi út 179."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-1-0-ecoboost-mhev-titanium-x-azonnali-keszlet-petranyi-budaors-hirdetesid-d23uhh,,2025,7 km,benzin,manuális/kézi,999 cm³,92 kW (125 LE),szürke,5 ajtó,"Budapest, Budaörsi út 179."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-1-0-ecoboost-mhev-titanium-x-azonnali-keszlet-petranyi-budaors-hirdetesid-r4d5cy,,2025,7 km,benzin,manuális/kézi,999 cm³,92 kW (125 LE),kék,5 ajtó,"Budapest, Budaörsi út 179."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-1-0-ecoboost-mhev-titanium-x-azonnali-keszlet-petranyi-budaors-hirdetesid-vpp7b4,,2025,7 km,benzin,manuális/kézi,999 cm³,92 kW (125 LE),kék,5 ajtó,"Budapest, Budaörsi út 179."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-1-5-ecoblue-aut-st-line-x-ahk-kamer-hirdetesid-d98urb,11 456 041 Ft,2023,20 972 km,dízel,automata,1 499 cm³,85 kW (116 LE),fekete,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-lim-titanium-hirdetesid-4ttmz9,11 462 635 Ft,2024,10 424 km,dízel,automata,1 499 cm³,85 kW (116 LE),fehér,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-1-5-ecoblue-start-stopp-system-aut-titani-hirdetesid-r2bb6k,11 462 635 Ft,2023,18 500 km,dízel,automata,1 499 cm³,85 kW (116 LE),kék,5 ajtó,"Budapest, Üllői út 309."
